record,group,frame,event_index,normalized_phase_prequant,quantized_bin,quantized_phase
GaCo01_01,control,1,1,0.421875,108,27/64
GaCo01_01,control,1,2,0.5546875,142,71/128
GaCo01_01,control,1,3,0.6796875,174,87/128
GaCo01_01,control,2,1,0.1328125,34,17/128
GaCo01_01,control,2,2,0.484375,124,31/64
GaCo01_01,control,2,3,0.609375,156,39/64
GaCo01_01,control,3,1,0.1328125,34,17/128
GaCo01_01,control,3,2,0.5234375,134,67/128
GaCo01_01,control,3,3,0.625,160,5/8
GaCo01_01,control,4,1,0.140625,36,9/64
GaCo01_01,control,4,2,0.5078125,130,65/128
GaCo01_01,control,4,3,0.6484375,166,83/128
GaCo01_01,control,5,1,0.140625,36,9/64
GaCo01_01,control,5,2,0.53125,136,17/32
GaCo01_01,control,5,3,0.65625,168,21/32
GaCo01_01,control,6,1,0.125,32,1/8
GaCo01_01,control,6,2,0.515625,132,33/64
GaCo01_01,control,6,3,0.6328125,162,81/128
GaCo01_01,control,7,1,0.1328125,34,17/128
GaCo01_01,control,7,2,0.4921875,126,63/128
GaCo01_01,control,7,3,0.625,160,5/8
GaCo01_01,control,8,1,0.1171875,30,15/128
GaCo01_01,control,8,2,0.484375,124,31/64
GaCo01_01,control,8,3,0.6015625,154,77/128
